:::::END_GAME::::: 2021-07-17 13:39:55,958 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:39:55,959 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:39:55,960 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:39:55,960 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:40:52,742 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:40:54,347 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:40:54,348 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:40:54,348 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:40:54,349 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:42:14,100 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:42:15,885 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:42:15,886 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:42:15,886 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:42:15,887 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:33:37,587 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:33:39,048 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:33:39,049 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:33:39,049 - INFO - RESPONSE CODE: 415 - STATUS: Unsupported Media Type
:::::END_GAME::::: 2021-07-17 22:35:55,110 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:35:56,333 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:35:56,334 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:35:56,334 - INFO - RESPONSE CODE: 415 - STATUS: Unsupported Media Type
:::::END_GAME::::: 2021-07-17 22:35:56,337 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:40:19,508 - INFO - Arguments parsed
